  Time (min)    V neg      V pos       Cur (A/m2)    Temp (C)   Heat Gen (W/m3)
  10.517491    0.189041    4.177320      0.0000     24.850000   5.6462866E+01
  10.569573    0.188660    4.177565      0.0000     24.850000   5.4746990E+01
  10.626864    0.188281    4.177805      0.0000     24.850000   5.2947169E+01
  10.689884    0.187906    4.178039      0.0000     24.850000   5.1051140E+01
  10.759205    0.187537    4.178265      0.0000     24.850000   4.9050551E+01
  10.835459    0.187177    4.178481      0.0000     24.850000   4.6942188E+01
  10.919338    0.186828    4.178687      0.0000     24.850000   4.4728137E+01
  11.011605    0.186491    4.178880      0.0000     24.850000   4.2416414E+01
  11.113099    0.186169    4.179060      0.0000     24.850000   4.0020444E+01
  11.224743    0.185863    4.179225      0.0000     24.850000   3.7558859E+01
  11.347550    0.185573    4.179374      0.0000     24.850000   3.5054192E+01
  11.482639    0.185300    4.179507      0.0000     24.850000   3.2531910E+01
  11.631236    0.185045    4.179624      0.0000     24.850000   3.0018584E+01
  11.794693    0.184806    4.179726      0.0000     24.850000   2.7540593E+01
  11.974495    0.184584    4.179812      0.0000     24.850000   2.5122331E+01
  12.172278    0.184379    4.179885      0.0000     24.850000   2.2785213E+01
  12.389839    0.184188    4.179944      0.0000     24.850000   2.0546549E+01
  12.629157    0.184013    4.179993      0.0000     24.850000   1.8419369E+01
  12.892406    0.183851    4.180031      0.0000     24.850000   1.6412285E+01
  13.181979    0.183703    4.180061      0.0000     24.850000   1.4530185E+01
  13.500511    0.183568    4.180084      0.0000     24.850000   1.2774842E+01
  13.850895    0.183445    4.180102      0.0000     24.850000   1.1146007E+01
  14.236318    0.183333    4.180116      0.0000     24.850000   9.6421414E+00
  14.660283    0.183234    4.180126      0.0000     24.850000   8.2612827E+00
  15.000000    0.183167    4.180133      0.0000     24.850000   7.3127693E+00
  15.000000    0.204771    4.093965    115.0000     24.850000   5.5119194E+04
  15.000000    0.204771    4.093965    115.0000     24.850000   5.5119194E+04
  15.000333    0.205354    4.093527    115.0000     24.850000   5.5642102E+04
  15.000700    0.205765    4.093245    115.0000     24.850000   5.5994910E+04
  15.001103    0.206120    4.093011    115.0000     24.850000   5.6293449E+04
  15.001547    0.206452    4.092797    115.0000     24.850000   5.6569243E+04
  15.002035    0.206775    4.092591    115.0000     24.850000   5.6835509E+04
  15.002572    0.207096    4.092387    115.0000     24.850000   5.7099168E+04
  15.003162    0.207421    4.092181    115.0000     24.850000   5.7364548E+04
  15.003812    0.207752    4.091970    115.0000     24.850000   5.7634630E+04
  15.004526    0.208091    4.091753    115.0000     24.850000   5.7911716E+04
  15.005312    0.208441    4.091527    115.0000     24.850000   5.8197671E+04
  15.006177    0.208803    4.091290    115.0000     24.850000   5.8494142E+04
  15.007128    0.209178    4.091041    115.0000     24.850000   5.8802610E+04
  15.008174    0.209568    4.090777    115.0000     24.850000   5.9124501E+04
  15.009325    0.209973    4.090498    115.0000     24.850000   5.9461189E+04
  15.010591    0.210395    4.090200    115.0000     24.850000   5.9814073E+04
  15.011983    0.210834    4.089882    115.0000     24.850000   6.0184562E+04
  15.013515    0.211292    4.089542    115.0000     24.850000   6.0574144E+04
  15.015200    0.211769    4.089176    115.0000     24.850000   6.0984368E+04
  15.017053    0.212267    4.088783    115.0000     24.850000   6.1416902E+04
  15.019092    0.212785    4.088359    115.0000     24.850000   6.1873523E+04
  15.021334    0.213326    4.087900    115.0000     24.850000   6.2356166E+04
  15.023801    0.213890    4.087404    115.0000     24.850000   6.2866925E+04
  15.026514    0.214477    4.086865    115.0000     24.850000   6.3408096E+04
  15.029499    0.215089    4.086279    115.0000     24.850000   6.3982175E+04
  15.032782    0.215727    4.085640    115.0000     24.850000   6.4591909E+04
  15.036394    0.216391    4.084943    115.0000     24.850000   6.5240291E+04
  15.040367    0.217082    4.084181    115.0000     24.850000   6.5930605E+04
  15.044737    0.217801    4.083347    115.0000     24.850000   6.6666421E+04
  15.049544    0.218548    4.082431    115.0000     24.850000   6.7451632E+04
  15.054831    0.219323    4.081424    115.0000     24.850000   6.8290442E+04
  15.060648    0.220126    4.080315    115.0000     24.850000   6.9187396E+04
  15.067046    0.220957    4.079093    115.0000     24.850000   7.0147356E+04
  15.074084    0.221814    4.077744    115.0000     24.850000   7.1175530E+04
  15.081826    0.222696    4.076252    115.0000     24.850000   7.2277443E+04
  15.090341    0.223600    4.074599    115.0000     24.850000   7.3458977E+04
  15.099709    0.224522    4.072768    115.0000     24.850000   7.4726369E+04
  15.110013    0.225459    4.070735    115.0000     24.850000   7.6086282E+04
  15.121348    0.226406    4.068477    115.0000     24.850000   7.7545834E+04
  15.133816    0.227359    4.065968    115.0000     24.850000   7.9112682E+04
  15.147531    0.228312    4.063178    115.0000     24.850000   8.0794985E+04
  15.162617    0.229261    4.060077    115.0000     24.850000   8.2601287E+04
  15.179212    0.230203    4.056631    115.0000     24.850000   8.4540087E+04
  15.197467    0.231136    4.052809    115.0000     24.850000   8.6619092E+04
  15.217547    0.232056    4.048579    115.0000     24.850000   8.8843902E+04
  15.239635    0.232963    4.043913    115.0000     24.850000   9.1216135E+04
  15.263932    0.233854    4.038793    115.0000     24.850000   9.3730761E+04
  15.290658    0.234727    4.033209    115.0000     24.850000   9.6372726E+04
  15.320057    0.235576    4.027175    115.0000     24.850000   9.9112781E+04
  15.352397    0.236394    4.020725    115.0000     24.850000   1.0190307E+05
  15.387970    0.237172    4.013926    115.0000     24.850000   1.0467379E+05
  15.427100    0.237902    4.006882    115.0000     24.850000   1.0733510E+05
  15.470143    0.238600    3.999731    115.0000     24.850000   1.0978863E+05
  15.517491    0.239306    3.992638    115.0000     24.850000   1.1193805E+05
  15.569573    0.240072    3.985776    115.0000     24.850000   1.1367879E+05
  15.626864    0.240934    3.979295    115.0000     24.850000   1.1488905E+05
  15.689884    0.241903    3.973287    115.0000     24.850000   1.1545134E+05
  15.759205    0.242984    3.967767    115.0000     24.850000   1.1529172E+05
  15.835459    0.244173    3.962673    115.0000     24.850000   1.1441377E+05
  15.919338    0.245467    3.957902    115.0000     24.850000   1.1291374E+05
  16.011605    0.246864    3.953331    115.0000     24.850000   1.1097004E+05
  16.113099    0.248363    3.948846    115.0000     24.850000   1.0880988E+05
  16.224743    0.249966    3.944338    115.0000     24.850000   1.0666816E+05
  16.347550    0.251681    3.939708    115.0000     24.850000   1.0475753E+05
  16.482639    0.253518    3.934859    115.0000     24.850000   1.0325690E+05
  16.631236    0.255490    3.929692    115.0000     24.850000   1.0231122E+05
  16.794693    0.257617    3.924105    115.0000     24.850000   1.0202924E+05
  16.974495    0.259920    3.917997    115.0000     24.850000   1.0247019E+05
  17.172278    0.262425    3.911277    115.0000     24.850000   1.0362223E+05
  17.389839    0.265164    3.903875    115.0000     24.850000   1.0538785E+05
  17.629157    0.268171    3.895759    115.0000     24.850000   1.0759360E+05
  17.892406    0.271490    3.886942    115.0000     24.850000   1.1002729E+05
  18.181979    0.275170    3.877494    115.0000     24.850000   1.1248720E+05
  18.500511    0.279286    3.867536    115.0000     24.850000   1.1482528E+05
  18.850895    0.283988    3.857236    115.0000     24.850000   1.1699356E+05
  19.236318    0.290194    3.846814    115.0000     24.850000   1.1937503E+05
  19.660283    0.300064    3.836586    115.0000     24.850000   1.2303418E+05
  20.000000    0.309409    3.829407    115.0000     24.850000   1.2633406E+05
  20.000000    0.287822    3.941018      0.0000     24.850000   2.1709939E+03
  20.000000    0.287822    3.941018      0.0000     24.850000   2.1709939E+03
  20.000333    0.286246    3.941454      0.0000     24.850000   2.0841216E+03
  20.000700    0.285229    3.941742      0.0000     24.850000   2.0238069E+03
  20.001103    0.284406    3.941983      0.0000     24.850000   1.9740682E+03
  20.001547    0.283678    3.942205      0.0000     24.850000   1.9300773E+03
  20.002035    0.283002    3.942418      0.0000     24.850000   1.8898126E+03
  20.002572    0.282360    3.942628      0.0000     24.850000   1.8523026E+03
  20.003162    0.281739    3.942839      0.0000     24.850000   1.8169944E+03
  20.003812    0.281131    3.943054      0.0000     24.850000   1.7835722E+03
  20.004526    0.280532    3.943273      0.0000     24.850000   1.7518239E+03
  20.005312    0.279936    3.943500      0.0000     24.850000   1.7216201E+03
  20.006177    0.279341    3.943735      0.0000     24.850000   1.6928632E+03
  20.007128    0.278744    3.943980      0.0000     24.850000   1.6654946E+03
  20.008174    0.278144    3.944235      0.0000     24.850000   1.6394666E+03
  20.009325    0.277538    3.944502      0.0000     24.850000   1.6147549E+03
  20.010591    0.276925    3.944782      0.0000     24.850000   1.5913391E+03
  20.011983    0.276304    3.945076      0.0000     24.850000   1.5692153E+03
  20.013515    0.275672    3.945384      0.0000     24.850000   1.5483806E+03
  20.015200    0.275029    3.945709      0.0000     24.850000   1.5288456E+03
  20.017053    0.274373    3.946052      0.0000     24.850000   1.5106202E+03
  20.019092    0.273703    3.946412      0.0000     24.850000   1.4937258E+03
